username,ranking_beauty,category,username_2
@thirdd,287,['Actors'],thirdd
@samuel_zylgwyn,288,['Actors'],samuel_zylgwyn
@zeezeeshahab,289,['Actors'],zeezeeshahab
@hanindhiyaatys,290,['Music'],hanindhiyaatys
@bts__jungk00k,291,"['Modeling', 'Art']",bts__jungk00k
@teejaymarquez,292,"['Celebrities', 'Technology']",teejaymarquez
@duniamanji,293,"['Technology', 'Celebrities', 'Cars & Motorcycles', 'Film, Music & Books']",duniamanji
@real_aditya1,294,['Actors'],real_aditya1
@parkbogumactor,295,"['Music', 'Producers']",parkbogumactor
@haikalhassan_quote,296,['Speaker'],haikalhassan_quote
@hypnaughty.makeup,297,[],hypnaughty.makeup
@putrititian,298,"['Actors', 'Technology']",putrititian
@eganoviantika_98,299,['Singer'],eganoviantika_98
@taqy_malik,300,['Video Blogger'],taqy_malik
@lucaggallone,301,"['Fashion', 'Modeling']",lucaggallone
@maria_vaniaa,302,"['Actors', 'Photography']",maria_vaniaa
@cemalurhan,303,['Actors'],cemalurhan
@sahilahisyam,304,['Actors'],sahilahisyam
@nadinelist,305,['Founder'],nadinelist
@sandrinamazayya,306,"['Singer', 'Music']",sandrinamazayya
@tatjanasaphira,307,['Actors'],tatjanasaphira
@heiraks,308,[],heiraks
@igpersib,309,['Soccer'],igpersib
@isminhdyh,310,[],isminhdyh
@fandych,311,['Actors'],fandych
@lazada_id,312,"['Technology', 'Film, Music & Books', 'Cars & Motorcycles']",lazada_id
@netmediatama,313,['TV Channel'],netmediatama
@jorgelorenzo99,314,['Motorcycle Racing'],jorgelorenzo99
@aurelie,315,['Lifestyle'],aurelie
@rintiksedu,316,[],rintiksedu
@nashwaaaz,317,['TV Host'],nashwaaaz
@febrihariyadi13,318,['Soccer'],febrihariyadi13
@rizkyalatas,319,"['Soccer', 'Celebrities', 'Cars & Motorcycles', 'Technology', 'Film, Music & Books']",rizkyalatas
@tausiyahcinta_,320,[],tausiyahcinta_
@khalidbasalamahofficial,321,[],khalidbasalamahofficial
@alisyakieb,322,['Actors'],alisyakieb
@anggun_cipta,323,"['Music', 'Singer', 'Songwriting']",anggun_cipta
@dimasbeck,324,['Lifestyle'],dimasbeck
@alfamart,325,['Marketing'],alfamart
@kimi.hime,326,[],kimi.hime
@roykiyoshi,327,"['Psychology', 'Fashion', 'Celebrities', 'Technology']",roykiyoshi
@salehahalilintar,328,"['Moms', 'Modeling']",salehahalilintar
@agthpricilla,329,"['Singer', 'Technology', 'Film, Music & Books', 'Cars & Motorcycles', 'Celebrities']",agthpricilla
@merryraffiahmad,330,['TV Host'],merryraffiahmad
@omeshomesh,331,['Actors'],omeshomesh
@nayyarafeezaaa,332,['Lifestyle'],nayyarafeezaaa
@indomaret,333,[],indomaret
@lulalahfah,334,"['Singer', 'Technology', 'Cars & Motorcycles', 'Film, Music & Books', 'Celebrities', 'Photography']",lulalahfah
@kaojirayu_9,335,['Actors'],kaojirayu_9
@kaesangp,336,['Video Blogger'],kaesangp
@geraldyohanes,337,['Actors'],geraldyohanes
@raynwijaya26,338,['Actors'],raynwijaya26
@cookat__,339,['Food'],cookat__
@ristytagor,340,['Actors'],ristytagor
@rafaell_16,341,[],rafaell_16
@azriel_hermansyah,342,['Food'],azriel_hermansyah
@tiktokofficialindonesia,343,['Moms'],tiktokofficialindonesia
@young_lex18,344,"['Film, Music & Books', 'Technology', 'Photography']",young_lex18
@cutsyifaa,345,['Actors'],cutsyifaa
@ernestprakasa,346,['Humor'],ernestprakasa
@ringgoagus,347,['Actors'],ringgoagus
@chandraliow,348,"['Music', 'Business', 'Photography']",chandraliow
@arafahrianti,349,['Actors'],arafahrianti
@vjdaniel,350,"['TV Host', 'Film, Music & Books']",vjdaniel
@edhozell,351,[],edhozell
@bts.0fficials,352,"['Fashion', 'Modeling']",bts.0fficials
@fatmasarizar,353,['Fashion'],fatmasarizar
@yuanitachrist,354,"['Actors', 'Technology', 'Celebrities', 'Film, Music & Books']",yuanitachrist
@cacatengker,355,['Moms'],cacatengker
@mgdalenaf,356,['Cooking'],mgdalenaf
@vanillahijab,357,[],vanillahijab
@ranzandniana,358,['Video Blogger'],ranzandniana
@officialpersebaya,359,['Soccer'],officialpersebaya
@syh55,360,['Actors'],syh55
@parkjimins.bts,361,"['Music', 'Modeling', 'Fashion']",parkjimins.bts
@boycandra,362,['Quotes'],boycandra
@petrusmahendra,363,['Video Blogger'],petrusmahendra
@itskeziakaramoy,364,['Modeling'],itskeziakaramoy
@andienaisyah,365,['Singer'],andienaisyah
@veve_zulfikar,366,['Singer'],veve_zulfikar
@ikhsan_lemon,367,['Video Games'],ikhsan_lemon
@dr.tirta,368,"['Shoes', 'Streetwear', 'Fashion']",dr.tirta
@ajengfazhh_,369,"['Business', 'Product', 'Beauty']",ajengfazhh_
@nkcthi,370,"['Writers', 'Poetry']",nkcthi
@yaswildblood,371,"['Actors', 'Celebrities', 'Technology', 'Cars & Motorcycles', 'Film, Music & Books']",yaswildblood
@jannineweigel,372,['Singer'],jannineweigel
@abouthetic,373,[],abouthetic
@kuanhung_,374,"['Modeling', 'Fashion', 'Actors']",kuanhung_
@rendyrangers,375,[],rendyrangers
@anneth.dlc,376,['Music'],anneth.dlc
@therealfatih,377,['Speaker'],therealfatih
@indirakalistha,378,['Singer'],indirakalistha
@risa_saraswati,379,['Writers'],risa_saraswati
@faktadanmitos,380,['News&Politics'],faktadanmitos
@csugiono,381,['Actors'],csugiono
@ari_lasso,382,[],ari_lasso
@kathyindera,383,"['Technology', 'Celebrities', 'Cars & Motorcycles', 'Humor', 'Photography']",kathyindera
@william.franklyn.miller,384,"['Actors', 'Modeling', 'Fashion', 'Photography', 'Film, Music & Books']",william.franklyn.miller
@meisya__siregar,385,['Actors'],meisya__siregar
@melodyprima,386,['Fashion'],melodyprima
@aldymldni,387,"['Actors', 'Cars & Motorcycles', 'Celebrities', 'Technology', 'Humor']",aldymldni
@chintyagabriella,388,['Video Blogger'],chintyagabriella
@kajianustadzadihidayat,389,['News&Politics'],kajianustadzadihidayat
@wardahmaulina_,390,['Lifestyle'],wardahmaulina_
@kemdikbud.ri,391,[],kemdikbud.ri
@nandaarsynt,392,"['Video Blogger', 'Cars & Motorcycles', 'Technology', 'Celebrities', 'Film, Music & Books', 'Humor']",nandaarsynt
@kimtaehyungs.bts,393,"['Music', 'Modeling', 'Art', 'Beauty']",kimtaehyungs.bts
@dianayulestari,394,['Speaker'],dianayulestari
@taophiangphor,395,['Actors'],taophiangphor
@bellagap,396,"['Actors', 'Cars & Motorcycles', 'Technology', 'Photography']",bellagap
@beautiful_tutorial_,397,"['Fashion', 'Lifestyle', 'Art']",beautiful_tutorial_
@qahtanhalilintar,398,['Video Blogger'],qahtanhalilintar
@renattamoeloek,399,"['Food', 'Actors']",renattamoeloek
@reisabrotoasmoro,400,"['Film, Music & Books', 'Celebrities', 'Humor']",reisabrotoasmoro
@rizkybillar,401,['Actors'],rizkybillar
@frostdiamondd,402,['Singer'],frostdiamondd
@moektito,403,['Actors'],moektito
@danillariyadi,404,"['Singer', 'Architecture', 'Film, Music & Books', 'Art', 'Photography']",danillariyadi
@pstore_jakarta,405,[],pstore_jakarta
@lagi.viral,406,['Art'],lagi.viral
@gabriellalarasati,407,['Actors'],gabriellalarasati
@dagelan_jowo,408,['Humor'],dagelan_jowo
@jenitajanet,409,['Singer'],jenitajanet
@riodewanto,410,"['Actors', 'Photography', 'Travel', 'Technology']",riodewanto
@infodunia.id,411,['News&Politics'],infodunia.id
@resepyummy,412,['Food'],resepyummy
@andreadianbimo,413,['Actors'],andreadianbimo
@mardiguwp,414,[],mardiguwp
@dwihandaanda,415,"['Fashion Design', 'Film, Music & Books', 'Technology', 'Photography']",dwihandaanda
@indonesiabertauhidofficial,416,['Religion'],indonesiabertauhidofficial
@kfcindonesia,417,[],kfcindonesia
@egymaulanavikri,418,['Soccer'],egymaulanavikri
@banununab,419,['Video Blogger'],banununab
@natta_reza,420,['Band'],natta_reza
@videolucu123,421,[],videolucu123
@mayaseptha7,422,"['Actors', 'Photography', 'Film, Music & Books', 'Technology']",mayaseptha7
@leejeonghoon,423,"['Moms', 'Film, Music & Books']",leejeonghoon
@yogaarizona,424,"['Events', 'Technology', 'Cars & Motorcycles', 'Film, Music & Books', 'Humor']",yogaarizona
@cnnindonesia,425,[],cnnindonesia
@fabulousgrosir,426,[],fabulousgrosir
@agatha_chelsea,427,['Actors'],agatha_chelsea
@kevin_sanjaya,428,['Sports'],kevin_sanjaya
@indolawak,429,['Humor'],indolawak
@makkahmadeenah,430,['Religion'],makkahmadeenah
@astridtiar127,431,['Modeling'],astridtiar127
@khadijahazzahra_makeup,432,['Wedding'],khadijahazzahra_makeup
@tulusm,433,['Band'],tulusm
@alvin_411,434,"['Travel', 'Photography', 'Nature & Outdoors', 'Architecture']",alvin_411
@sherlyannavita,435,[],sherlyannavita
@vatemat,436,['Actors'],vatemat
@sherylsheinafia,437,"['Singer', 'Music', 'Actors']",sherylsheinafia
@officialtrans7,438,['TV Channel'],officialtrans7
@uyainaarshad,439,['TV Host'],uyainaarshad
@dagnesia,440,"['Soccer', 'Actors']",dagnesia
@mrfsnjy,441,['Lifestyle'],mrfsnjy
@mayoutfit,442,[],mayoutfit
@shireeenz,443,"['Fashion', 'Beauty', 'Modeling', 'Film, Music & Books', 'Technology', 'Celebrities', 'Cars & Motorcycles']",shireeenz
